aparelho;ord;avaliacao;estrela
a23;230;Amaeie super r†pido.;4
a23;237;Atendeu a expectativa! Lindo.;5
a23;244;Foi presente e a pessoa amou o smartphone;5
a23;251;Produto bom.;5
a23;258;Gostei muito do produto e comprei por um ¢timo cashback;5
a23;265;Excelente celular;5
a23;272;Produto otimo, de boa qualidade;5
a23;279;Smartphone bom cxb para quem n∆o precisa de um top de linha.;5
a23;286;Amei o celular;5
a23;293;Produto atende ∆o basico em tudo nos dias atuais muito bom;4
a23;300;O produto n∆o era pra mim, porÇm a pessoa n∆o reclamou, acredito que gostou;4
a23;307;Celular razo†vel, fotos de baixa qualidade!;3
a23;314;Excelente produto, tela, peso e tamanho, recomendo!;5
a23;321;Aparelho Ç top, mais o. Arregafir nao funcionava, e o fio Çbem curto! Se quizerem me enviar um carregador bom, ficarei feliz.;4
a23;328;O smartphone e bom funciona bem rapido,tem muita mem¢ria, o preáo ta bom,chegou bem r†pido, 6 dias.;4
a23;335;Ainda Ç cedo mas o celular Ç muito bonito, com ¢tima configuraá∆o e cheio de funcionalidades;5
a23;342;Celular lindo e r†pido;5
a23;349;Produto maravilhoso.;5
a23;356;Celular muito bom, bem ajustado ao preáo, pegando cashback ent∆o melhor ainda;5
a23;363;‡timo aparelho;5
a23;370;‡timo celular! PorÇm poderia vir com fone;5
a23;377;Excelente produto .;5
a23;384;‡timo celular, r†pido e eficiente pro preáo cobrado.;5
a23;391;Recebi e comecei a testar, atÇ agora estou bem satisfeito. Aparelho r†pido, bonito e com uma boa cÉmera. Custo benef°cio bastante interessante.;5
a23;398;Comprei para minha sogra, ela est† gostando bastante.;5
a23;405;Ainda n∆o testei pois irei dar de presente mas a entrega foi perfeita antes do esperado.;4
a23;412;Realmente maravilhoso! Minha sobrinha amou!!!!;5
a23;419;Muito bom , chegou r†pido . Ènico defeito Ç n∆o vir com fone e capa . Mas fora isso ele Ç perfeito!!!!!;5
a23;426;Um celular caro, que n∆o vÇio com fone de ouvido;1
a23;433;A minha tia gostou bastante! AtÇ agora esta funcionando muito bem, espero que continue assim;5
a23;440;Excelente produto e entrega super r†pida;5
a23;447;Uma boa compra , e estou super satisfeito pela com;5
a23;454;Excelente aparelho. Comprei dois dele. Estou amando. Bem r†pido a respostas do sistema.;5
a23;461;compensa bastante comprar quem est† procurando algo bom e com bom custo beneficio da samsung;5
a23;468;Muito bom, cÉmera boa, tamanho bom;5
a23;475;Lindissimo e ainda o adquiri na black Friday por um maravilhoso preáo. Minha m∆ezinha esta muito contente com o presente. Parabens!!;5
a23;482;Minha amiga comprou pra m∆e dela. Ela gostou muito e ficou satisfeita tambÇm com a entrega.;5
a23;489;Celular muito bom podem comprar recomendo;4
a23;496;Tamanho, qualidade, muito bom, gostei muito;5
a23;503;Otimo telefone, designer lindo! Super atende, sistema super facil .;5
a23;510;Trava um pouco, mas fora isso Ç muito bom;4
a23;517;Fant†stico. Leve, bonito e r†pido. Um excelente custo-benef°cio;5
a23;524;O celular Ç ¢timo pode compra sem medo;5
a23;531;Comprei esse modelo pelo tamanho, para meus familiares idosos. Adoraram!;5
a23;538;Bom preáo e entrega bem r†pida;5
a23;545;O touch deixa, mas a camera Ç top e ele Ç lindo ja tenho fazem 4 meses e indico o produto!! Gostei do espaco interno;4
a23;552;Custo benef°cio.;5
a23;559;Chegou super r†pido, o aparelho Ç exatamente como eu esperava, apresentou todas as minhas expectativas. enfim maravilhoso!!!;5
a23;566;Trava um pouco, fora isso Ç um bom aparelho;3
a23;573;Muito bonito;5
a23;580;‡timo aparelho;5
a23;587;Atende Ös expectativas de acordo com o preáo;5
a23;594;Gostei muito do aparelho, ¢timo custo benef°cio. Samsung inovou muito;5
a23;601;Chegou antes do prazo,aparelho excelente.;5
a23;608;Chegou na data certa, 10;5
a23;615;Produto perfeitamente perfeito, chegou antes do prazo final e eu amei, Ç lindo e eficiente.;5
a23;622;Muito bom , veio perfeito qualidade;5
a23;629;Comprei para meu sobrinho ?? Ele adorou.;5
a23;636;Bom aparelho atende as necessidades di†rias e ainda da pra jogar alguns jogos mais nada muito muq4>;5
a23;643;O produto Ç muito bom!!! Atendeu minhas expectativas!!;5
a23;650;AtÇ o momento tem apresentado um ¢timo desempenho.;5
a23;657;Muito funcional e favil manuseio, bom aparelho pra quem tem poca grana.;5
a23;664;Bom pra ser Samsung;5
a23;671;Excelente a qualidade, peguei na loja e foi muito r†pido.;5
a23;678;Quando recebemos †udio do whatsapp e colocamos aparelho no ouvido, ele n∆o baixa o som 1) Assistància TÇcnica local trocou a tela e bateria, n∆o resolveu. 2) Mandei o aparelho pelos correios, via Samsung. Pacote foi rejeitado pela assistància (que n∆o aceita encomenda dos correios). 3) Estou mandando para outra assistància tÇcnica, via correios e segue minha saga.... Falei que queria devolver o aparelho. Samsung falou que n∆o poderia fazer nada sem estar com o aparelho em m∆os. Vou mandar amanh∆ para assistància, mas tenho certeza que v∆o tentar consertar e me devolver, sem chance de troca. Se ocorrer a troca edito minha avaliaá∆o.ver mais;1
a23;685;Atendeu minhas expectativas!;4
a23;692;Aparelho bom, processador r†pido e fotos de qualidade;5
a23;699;Otimo e muito bom;4
a23;706;Gostei do celular,i.agem ,memoria,leve,processador rapido muito bom;4
a23;713;Produto de primeiro mundo;5
a23;720;Otimo celular muito lindo gostei muito e super recomendo;5
a23;727;Gostando bastante do produto! R†pido, n∆o trava, ¢tima mem¢ria! Nada a reclamar, por enquanto!;5
a23;734;O aparelho corresponde a todas as expectativas: cÉmera, tela e processador tudo de ¢tima qualidade.;5
a23;741;tudo dentro do esperado;5
a23;748;Produto de ¢tima qualidade 10;5
a23;755;Atende bem o que esperava pra este celular em particular.;4
a23;762;Estou adorando tudo no aparelho, principalmente a cÉmeras.;5
a23;769;Muito bom o celular;5
a23;776;Muito bom, produto de ¢tima qualidade;5
a23;783;O celular Ç ¢timo, gostei muito!!;5
a23;790;Muito bom, recomendo a todos.;5
a23;797;Muito bom. Custo beneficio cÉmera ¢tima! Gostei muito...;5
a23;804;Ainda tenho que esperar 72 horas pra ser ressarcido;1
a23;811;Muito bom, super recomendo;5
a23;818;‡timo produto, bem embalado, chegou muito r†pido;5
a23;825;Sobre o produto Ç o primeiro dia mais aparenta ser um ¢timo produto.;5
a23;832;Comprei para a minha irm∆, achei um preáo ¢timo e desempenho bom do aparelho.;5
a23;839;Celular sem audio;1
a23;846;O celular pelo valor Ç bom. A tela Ç muito boa e brilhante. Mas a sensibilidade possui um leve atraso na resposta do toque. Foto Ç ¢timo;4
a23;853;Aparelho com uma ¢tima camera traseira, a frontal Ç muito boa mas no escuro Ç necess†rio usar o modo notuno que tb achei de qualidade. Rapido, nao trava, bateria duradoura, comeco usar 6h da manha e vou dormir as 22:30 e ai sim ponho para carregar com ainda uns 30%. Esteticamente lindo. Entrega rapida e honesta cumpriram prazo de um dia util.ver mais;5
a23;860;Chegou antes do prazo, ¢timo custo benef°cio, cÉmera e bateria boa. Unico ponto ruim Ç que n∆o fone de ouvido.;4
a23;867;Celular muito bom, de ¢tima qualidade, com bateria e cÉmera boa. Fiquei muito satisfeita com a compra.;5
a23;874;Muito bom para idosos que n∆o precisam de uma camera t∆o boa mas consomem mt memoria;5
a23;881;Produto de primeira linha, entregar super r†pida. Muito obrigado;5
a23;888;Vale muito apena pois custo beneficio e bom preco;5
a23;895;Bom de mais;5
a23;901;Ate agora estou amando amei esse celular;5
a23;907;O produto em si e bom, mas fizeram igual a apole mandaram apenas o usb, cade a caixinha da tomada gente ? Fazem a propaganda de carregamento rapido e turbo e cade a caixinha;2
a23;913;Otima aquisicao;5
a23;919;N∆o veio fone de ouvido, mas de resto Ç um aparelho ¢timo e barato. As cÉmera s∆o boas tambÇm.;5
a23;925;Trava de vez em quando e fica abaixando e aumentando o brilho de tela sozinho;3
a23;931;Aparelho muito bom, relacao entre o preco e o que o aparelho oferece muito satisfat¢ria. Recomendo, se a pessoa ja tiver um aparelho Samsung com backup ativo vai fazer a transicao de aparelhos sem nenhuma dificuldade.;5
a23;937;Comprei para a minha sobrinha, ela adorou.;5
a23;943;Cansado de recomendaá∆o desse aparelho que Ç ruim demais;1
a23;949;‡timo Celular;5
a23;955;Bom s¢ tem uma semana que estou com o celular q comprei. Por isso n∆o posso dizer muita coisa, por enquanto estou amando.;5
a23;961;Lindo e ¢timo qualidade;5
a23;967;O celular Ç lindo, eu adorei.. porÇm, senti que ele trava bastante;4
a23;973;ENTREGA SUPER RµPIDA, e o produto com qualidade.;5
a23;979;‡tima entrega e r†pida aprovaá∆o do pedido;4
a23;985;‡TIMO MAS SE VIER COM DEFEITO ESQUEÄA NUNCA MAIS TROCAM.;1
a23;991;Celular lindo muito bom, rapido, otimas cameras. Superou minhas expectativas.;5
a23;997;Sem nenhum problema.;5
a23;1002;Celular descarrega muito;1
a23;1009;O celular Ç muito bom, com o Cashback da ame o preáo ficou bem abaixo do praticado na maioria das lojas.;5
a23;1015;Amei chegou antes do prazo e superou minhas expectativas;5
a23;1021;Produto bom parem veio sem o fone de ouvido;1
a23;1027;Aparelho alÇm de bem bonito, tem um tamanho ideal e ¢tima mem¢ria.;5
a23;1033;¢timo celular Ç com preáo acess°vel para a maioria da populaá∆o;5
a23;1039;¢timo celular Ç com preáo acess°vel para a maioria da populaá∆o;5
a23;34;Comprei o celular na sexta feira e foi entregue na segunda feira. super rapido.;5
a23;41;Achei ¢timo , resposta r†pida e ¢tima opá‰es de fotos.;4
a23;48;Muito bom a bateria dura bastante;5
a23;55;Nota 10 como sempre;5
a23;62;Faltou a caneta como aparece na foto fo telefone. Mas o telefone Ç de excelente qualidade.;5
a23;69;Produto excelente pelo custo-beneficio.;5
a23;76;‡timo custo benef°cio;5
a23;83;Adorei o sasmsung A23, chegou bem r†pido, tamanho maravilhoso, r†pido, bem intuitivo quanto Ös funcionalidades.;5
a23;90;Capacidade de armazenamento 10, cÉmera 10, tudo de bom.;5
a23;97;Pelo custo benef°cio, superou minhas espectativas...;4
a23;104;Minha filha adorou;5
a23;111;Muito bom;5
a23;118;Presentei meu filho com esse aparelho, Ç bem ok. Cumpre o prometido, a cor Azul Ç perfeita. N∆o trava, ele utiliza pra jogar tem uma mem¢ria ¢tima, pesquisei e possui otimas avaliaá‰es. Estou satisfeita! RECOMENDO!;5
a23;125;Exatamente igual ao descrito muito bom;5
a23;132;Amei, chegou no prazo e em perfeita condiá‰es. Super indico!;5
a23;139;Estou satisfeito com produto;5
a23;146;Ele gostou tamanho da tela, desempenho, est† feliz!;5
a23;153;Perfeito pra mim;5
a23;160;Primeiro quero parabenizar a entrega, comprei na quinta ,na teráa-feira chegou. O celular veio tudo certinho, bem embalado,cÉmera boa, mem¢ria ¢tima, muito espaáo. Um celular super moderno. Comprei na cor azul e amei !!!!;5
a23;167;Gostei do produto;5
a23;174;Produto excelente , atende minhas necessidades, Recomendo;5
a23;181;O celular Ç ¢timo! ê o segundo que eu compro!;5
a23;188;10 maravilhoso amei;5
a23;195;Produto excelente mas se fosse vocàs faria algo urgente com relaá∆o a essa transportadora Direct de vocàs, Ç uma porcaria.;5
a23;202;A cÉmera Ç boa em ambientes claro, para que usa no dia a dia ele atende bem por conta da bateria que tem uma boa durabilidade, consegue rodar os apps da melhor forma poss°vel;5
a23;209;Aparelho atende a expectativa dentro da faixa de preáo;5
a23;216;Bom celular a minha tia gostou!! AtÇ agora esta funcionando bem!!;5
a23;223;Simplesmente gostei. As fotos ficam mara.;4
a23;230;Excelente celular.;5
a23;237;Chegou na data prevista ,qualidade excelente,produto sem nenhum defeito , chegou lacrado recomendo;5
a23;244;Muito bom gostei deu de presente pra filha;5
a23;251;O problema Ç a entrega prometido em 3 dia entregar depois de 8dias.;4
a23;258;Muito ¢timo;5
a23;265;Entrega demorada Cashback dificil de se obter (nao devolvem o dinheiro);5
a23;272;Entrega rapida, eficaz e o produto cumpre o que promete.;5
a23;279;Pra quem quer custo beneficio ta otimo;5
a23;286;Celular bom para quem nas faz uso intenso. Tem reconhecimento facial para desbloqueio da tela, leitor de digital Ç bom;4
a23;293;Pelo preáo, o desempenho e o benef°cio contam demais;5
a23;300;Gostei muito do aparelho. Super satisfeita.;5
a23;307;Muito bom o celular;3
a23;314;Produto de ¢tima qualidade;5
a23;321;Custo foi muito bom e a entrega foi r†pida;5
a23;328;Otimo produto e atendimento entrega antes do prazo;5
a23;335;A cÉmera n∆o Ç boa A filmagem deixa a desejar Fora isso Ele Ç muito bom;5
a23;342;O celular Ç bom e serve bem as minhas necessidades, s¢ tive um pequeno problema com a transportadora mas tudo resolvido.;4
a23;349;Eu amei o celular ja estou com ele a h† 2 meses nao tive problemas roda muito bem os jogos RECOMENDO MUITO (TA BARATO);5
a23;356;Chegou antes do esperado. Nos 10.;5
a23;363;Superou minhas expectativas muito bom;4
a23;370;Otimos custo-benef°cio e entrega super rapida bem antes do prazo!;5
a23;377;Produto mediano que atende bem para o usu†rio mÇdio.;5
a23;384;Telefone atendeu as expectativas acabamento bom. Telefone mediano, mas para uso de redes socias, fotos do dia dia Ç excelente. Comprei para minha filha. Recomendo produto. Samsung tem ¢timos aparelhos.;5
a23;391;ê do jeito que queria e esperava pra o basico e otimo n∆o trava. Obs. Estou usando a 5 meses;5
a23;398;Excelente ...Top;5
a23;405;Exatamente como anunciado. ‡timo aparelho, atende minhas necessidades.;5
a23;412;Um bom custo beneficio antende as nesecidades diarias??;4
a23;419;Muito bom entregar muito r†pido boa qualidade ¢timo celular muito desempenho gostei muito eu super recomendo;4
a23;426;Bom celular mais deveria ser mais barato;3
a23;433;Adorei o celular;5
a23;440;Um ¢timo produto;4
a23;447;Pelo valor e bom.;4
a23;454;Otimo produto;5
a23;461;Chegou antes do prazo, o celular e lindo agora e so acompanhar o desempenho.;5
a23;468;Atende o custo benef°cio.;5
a23;475;Eu estou gostando do aparelho, vale a pena compra-lo. A entrega foi dentro do prazo.;5
a23;482;O produto foi ¢timo, pena cobrar fretes caros.;4
a23;489;Alta qualidade do produto muito satisfeito !!;5
a23;496;Otimo...recomendo camera maravilhosa;5
a23;503;Infelizmente com um mes de uso teve que ir a assistància tÇcnica para trocar a bateria, acho que foi falta de sorte.;3
a23;510;Otimo produto;5
a23;517;Adorei minha filha me deu de presente. Ele tem impressao digital, 128 memoria a bareria durani dia todo , ele tem reconhecimento facial . Amei a cor azul. Super recomendo.;5
a23;524;Pra mim atendeu todas minhas espectativas, bom desep3nho nao descarrega r†pido;5
a23;531;atÇ agora est† me parecendo um ¢timo celular n∆o tenho do que reclamar ele Ç lindo ??;5
a23;538;Um smartphone razo†vel poderia oferecer mais funá‰es e Recursos;4
a23;545;O produto atendeu as minhas expectativas, Ç um bom aparelho, est† funcionando bem. N∆o me atentei ao tamanho da tela que comparado ao meu antigo celular ficou enorme, mas Ç quest∆o de costume agora.;5
a23;552;Chegou certinho cor linda camera top carregamento rapido bateria duravel nao trava super rapido ele e o a13 sao maravilhoso comprem sem medo;5
a23;559;Celular muito bom!!;5
a23;566;O celular e lindo, ¢timo custo benef°cio !;5
a23;573;Designer swou de bola...ameiii o cel....• ague tava mais cel de milh‰es kkkk A23 super recomendo!!!;5
a23;580;Celular lindo, otimo, desempenho e a bateria Ç dur†vel. Meu irm∆o adorou!;5
a23;587;Melhor imposs°vel;5
a23;594;Produto excelente, porÇm chegou uma 5 dias de atraso;4
a23;601;Gostei bastante;5
a23;608;Gostei muito do produto, recomendo, e chegou r†pido.;5
a23;615;Smartphone fant†stico minha filha amou?????? recomendo com certeza ??????;5
a23;622;Rapidez e eficiencia na entrega..muito bom.;4
a23;629;Dei de presente para minha esposa e ela amou, gostou da cor do tamanho e do sistema, ver o sorriso e a alegria dela por conta da faculdade que ela precisava muito, fora o cashback que foi um valor bom para eu usar em uma outra compra futura.;5
a23;636;AlÇm da expectativa.;5
a23;643;Celular ¢timo, produto com custo benef°cio maravilhoso e entrega muito r†pida!;5
a23;650;O aparelho Ç excelente pro uso diario, bateria dura mais de um dia se n∆o ficar usando pra video. Fotos show!;5
a23;657;O celular parece que esta com defeito.;3
a23;664;O celular chegou perfeito;5
a23;671;Gostei do aparelho, mas as fotos eu acreditava que seria de melhor qualidade.;4
a23;678;Comprei pra presentear, minha filha amou,naotenho o que reclamar.;5
a23;685;Produto impec†vel, muiito bom e a entrega muito r†pida.;5
a23;692;to bem satisfeita com a minha compra. o celular Ç grande, nao trava, tem um design lindo. talvez oq deixou a desejar um pouco Ç a cÉmera, mas n∆o Ç nada que interfira no desempenho do celular!;5
a23;699;‡timo meu sombrinho t† gostando muito!;5
a23;706;Produto chegou nos conformes, porÇm tivemos problemas com a transportadora, a mesma falou que o produto tinha chegado e que j† tinha atÇ uma assinatura minha. E isso n∆o confere. Mas o produto j† estar em minhas m∆os tudo certo.;5
a23;713;Produto maravilhoso.;5
a23;720;‡timo produto;5
a23;727;Otimo produto, entrega super rapida;5
a23;734;Estou amando;5
a23;741;O celular Ç otimo, wm todos os aspectos, chegou antes do prazo, super recomendo!!!!;5
a23;748;O celular e ¢timo , que n∆o veio o fone;5
a23;755;Otimo produto,veio em perfeito estado.;5
a23;762;Estou com o celular h† um dia, nao tenho muito a dizer. Mas acho um absurdo n∆o vir com fone de ouvido;4
a23;769;Nota 10 esse produto;5
a23;776;Meu filho amou;5
a23;783;Aparelho muito bom top chegou no prazo obrigado recomendo...;5
a23;790;Oh desempenho eh bom;5
a23;797;celular bom pro custo beneficio... so n∆o vemo fone de ouvido;5
a23;804;celular bom pro custo beneficio... so n∆o vemo fone de ouvido;5
a23;811;Gostei muito recomendo.;5
a23;818;Muito bom .. tela grande ... bateria;5
a23;825;Super recomendo. Muito bom.;5
a23;832;Produto muito bom! Atendeu as minhas expcetativas.;5
a23;839;Celular de boa qualidade, recomendo.;5
a23;846;Atendeu minhas necessidades;5
a23;853;Celular n∆o trava! Muito bom;5
a23;860;Recomendo muito!;5
a23;867;Apesar de um processador antigo mais cumpri o que promete, tela sem coment†rios ????;5
a23;874;Custo-beneficio, designer, e processamento excelente. ParabÇns;5
a23;881;Lindo e pratico. Estou adorando.;5
a23;888;Gostei muito ¢timo imagem cumpre o que promete;5
a23;895;Produto muito bom bonito gostei;4
a23;902;S¢ n∆o gostei que n∆o veio saco bolhas na embalagem.;5
a23;909;Achei muito bom o de custo benef°cio bem em conta super indico preáo acess°vel;5
a23;916;Veio bem embalada, nao tava amassado porem veio sem fone,isso ja justifica o preáo da promoá∆o, so nao dou 5 estrelas pq veio sem fone, mas o cel em si e bom, rapida entrega;4
a23;923;Amei demais o produto , valor acessivel. Facol retirada ,maravilhoso mesmo;5
a23;930;Gama media exelente...............;5
a23;937;Excelente qualidade pra quem precisa do b†sico bem feito, a tela Ç muito sens°vel 100% precisa ao toque, o som Ç de boa qualidade e a bateria dura muito mesmo. Valeu demais a compra!;5
a23;944;Lugar melhor para se comprar e foi onde encontrei com preáo mais acess°vel;5
a23;951;Perfeito e lindo amei ,cores lindas;5
a23;958;celular bem bonito e r†pido;5
a23;964;O celular Ç ¢timo. ??;4
a23;970;Escelente,e satisfeito.;5
a23;976;Pr†tico, funcional;5
a23;982;ê relativamente barato em relaá∆o a outros modelos, bom tamanho de tela, e tem tecnologia NFC (que permite pagamento por aproximaá∆o, com cart∆o de crÇdito cadastrado em carteiras digitais).;5
a23;988;Perfeito amei o produto;5
a23;994;Ate agora estou muito satisfeita com o celula funciona bem modelo muito bonito acho que fiz uma boa compra gosto muito dos aparelhos da Samsung nunca tive problema com outros aparelho esta marca agora e curti omeu cÇlula.;5
a23;1000;Bom mais nada gostei da digital falha muito;4
a23;1006;Como sempre os celulares da Samsung s∆o de excelente qualidade, claro que pra isso tem que ter um cart∆o de mem¢ria a altura do mesmo. atÇ o presente momento nenhum defeito ou problema, estar aprovad°ssimo.;5
a23;1012;Nas especificaá‰es do aparelho esta dizendo que o mesmo nao tem NFC. Porem ele tem sim. Isso em todos os an£ncios. Acaba confundindo o cliente.;3
a23;1017;celular excelente;5
a23;1024;Tinha q conferir o produto antes de embalar;2
a23;1030;Obrigada por ter produtos de qualidade;5
a23;1036;Muito bom aparelho r†pido estilo bonito vale apena comprar;5
a23;1042;Designer lindooo. Mas qusndo acessei o Facebook levei um susto. Cores amarelada parecia que eu tava lendo um jornal de papel. Esse foi o £nico defeito dele. Cores horriveis.;1
a23;34;Atendeu †s expectativas;5
a23;41;Ele e muito bom;5
a23;48;Comprei este aparelho para a minha filha. Ela gostou muito, principalmente da bateria que mesmo com uso frequente durante as fÇrias escolares, suportou com louvor. AlÇm disto, possui um bom espaáo interno de armazenamento, bem como a possibilidade do uso de uma cart∆o SD. Recomendo.;5
a23;55;Veio Perfeito;5
a23;62;‡timas vantagens do produto Confi†vel, r†pido, e muito bem recomendado;5
a23;69;E muito bom para seu preáo recomendo sim;3
a23;76;Muito bom;5
a23;83;Muito bom.;5
a23;90;Bom, tem bastante coisa boa nele como mem¢ria e desempenho (roda COD mobile de boas e Genshin Impact com qualidade baixa em 30 fps) Minhas £nicas reclamaá‰es s∆o: a bateria n∆o dura tanto para um celular novo recÇm comprado e na primeira carga ele aqueceu mesmo desligado e n∆o vem com capa nem fone de ouvido;4
a23;97;‡timo celular, entrega antes do prazo.;4
a23;104;Nota mil;4
a23;111;Duraá∆o de bateria muuto boa;4
a23;118;Gosto da sansung e nunca me deu problema;5
a23;125;Gostei do produto;5
a23;132;Satisfeit°ssima Rapidez na entrega;5
a23;139;Porem pra quem nao gosta de celular grande ele Ç expremamente grande n cabe nos bolsos ou seja vc tem q andar com uma bolsa smp , memoria boa carrega rapido e descarrega lento;4
a23;146;Super legal recomendo;5
a23;153;Muito bom irei comorar outro se Deus quiser;5
a23;160;Gostei muito, produto com alta qualidade e tamanho bom;5
a23;167;Muito bom,recomendo;5
a23;174;Nada a reclamar, chegou antes do prazo, bem embalado. O celular em si supre as minhas necessidades.;5
a23;181;O produto foi para minha m∆e que sentiu falta de um fone de ouvido. Antes os celulares vinham com fome que n∆o foi o caso deste. No geral gostou do produto!;5
a23;188;Bom ,responde minhas espectativas;4
a23;195;Produto atende minhas expectativas;5
a23;202;‡timo, chegou rapidinho;5
a23;209;Comprei pelo tamanho, para os idosos da familia. Mais facil para digitarem. Amaram.;5
a23;216;Nota 10. Celular top;5
a23;223;Excelente custo-benef°cio e entrega bem antes do prazo!;5
a23;230;Melhorou em muitos ascpectos, especialmente na mem¢ria que passou para 128gb. Infelizmente piorou na cÉmera des selfie e no bot∆o da digital.;5
a23;237;Samsung para mim Ç melhor marca;5
a23;244;Celular show;5
a23;251;‡timo, Boa duraá∆o de bateria e desempenho ¢timo, usos de rede social e dia a dia!;5
a23;258;Bom custo benef°cio.;5
a23;265;Tamanho bom, cÉmera boa, espaáo grande odorei;5
a23;272;Estou muito feliz com a compra recomendo;5
a23;279;Gostei muito do produto recomendado;5
a23;286;TD certo muito bom recomendo;5
a23;293;Excelente produto;5
a23;300;‡tima compra. Gostei!;5
a23;307;‡timo desempenho. Carregamento r†pido. Bateria de longa duraá∆o. Excelente custo benef°cio. Gostei do aparelho!;5
a23;314;Produto maravilhoso!;5
a23;321;Atendeu muito bem as necessidades.;5
a23;328;Atendeu as expectativas;5
a23;335;Excelente em tudo;5
a23;342;O meu aparelho chegou dentro do prazo prometido. Foi tudo oq eu estava precisando;5
a23;349;Chegou no mesmo dia Otimo custo beneficio;5
a23;356;O produto supriu minhas necessidade, n∆o necessito nada mais. Supriu minhas necessidades. Recomendo 100%;4
a23;363;ê um bom aparelho para quem usa o b†sico, vale o custo-benef°cio.;4
a23;370;O aparelho Ç visualmente moderno f†cil de usar e tem uma cÉmera muito boa, atendeu minhas expectativas.;5
a23;377;Este telefone e maravilhoso amei e chegou antes da data prevista;5
a23;384;Compraria dinovo!;5
a23;391;Bateria fraca;4
a23;398;Exatamente o que eu queria em um aparelho. Bateria com tempo de duraá∆o de 2 dias, recarga rapida e navegaá∆o rapida. Otimo para quem precisa de um smartphone UTIL e nao cheio de extras.;5
a23;405;Chegou super r†pido. O aparelho Ç muito bom. Recomendo.;4
a23;412;Chegou tudo certo e no prazo, est† em uso, por enquanto tudo bem;5
a23;419;Excelente opá∆o. Ainda sem o 5G, mas valeu a pena. Samsung;5
a23;426;‡timo aparelho por enquanto tudo funcionando perfeitamente, entrega no prazo!!!;5
a23;433;Ela amou e eu gostei tbem...Concerteza compraria outro...ele tem tudo que um intermedi†rio precisa.;5
a23;440;Produto Top;5
a23;447;Comprei o Samsung A23 para minha m∆e e devo falar que Ç um produto excelente e surpreendente pelo valor e pela qualidade.;5
a23;454;Muito bom. Realmente superou minhas expectativas! Excelente celular. As fotos ficaram ¢timas.;5
a23;461;Serve perfeitamente para o objetivo.;5
a23;468;Produto de boa qualidade, atende a todos os beneficios, chegou antes da data prevista est∆o de parabÇns, eu estou amando ??;5
a23;475;Ate agora esta satisfazendo minhas expectativas.;5
a23;482;Tudo conforme o o an£ncio. Entregaram antes do prazo. Estou satisfeito e voltarei a comprar no site.;5
a23;489;‡timo aparelho muito bonito nota 10;5
a23;496;Otimo aparelho. Preco ok. Vale muito a pena hoje em dia!;5
a23;503;Lindo amei de todas melhor compra celular top muito r†pido.;5
a23;510;O prazo de entrega foi de 2 dias muito ???? Tamanho perfeito, a qualidade das fotos excelentes estou adorando o celular. Apenas um reclamaá∆o NAO VEM O FONE.;4
a23;517;Celular com ¢timo custo benef°cio.;5
a23;524;Bom aparelho, uso pra coisas b†sicas e a bateria dura em mÇdia 1 dia e meio;5
a23;531;Gostei bastante;5
